grad_norm,loss,loss_q0,loss_q1,loss_q2,loss_q3,mse,mse_q0,mse_q1,mse_q2,mse_q3,samples,step,eval_loss,eval_loss_q0,eval_loss_q1,eval_loss_q2,eval_loss_q3,eval_mse,eval_mse_q0,eval_mse_q1,eval_mse_q2,eval_mse_q3
1.0406441203062566,1.756251335144043,1.7821201781431832,1.7562670045428808,1.7282650113105775,1.7740381615502494,1.0102298259735107,1.0219859977563222,1.0010753538873465,1.0212756872177122,0.9961430217538563,64,0,,,,,,,,,,
,,,,,,,,,,,,,2.364896297454834,2.3259984184713924,2.340479436673617,2.3878229505875526,2.431752616708929,1.6205178499221802,1.5969657196718106,1.6156337951358992,1.6249085103764254,1.6585674394260752
0.7766670948418168,1.4226325249671938,1.1783488234493171,1.361216960954725,1.498031948551989,1.6423527952883028,0.69748508810997,0.4503982949759311,0.6296375091841506,0.7790210067204963,0.9205487002490973,3264,50,,,,,,,,,,
0.3845227642668791,1.2799565291404722,0.9789654164772316,1.2012442689871814,1.3986193557713655,1.5570113936861865,0.5890915966033939,0.285030775478688,0.5162533948310919,0.7069105192318846,0.8638786589564231,6464,100,,,,,,,,,,
0.3626217458126936,1.2351266312599185,0.9186900469195806,1.1453979939531174,1.3412752343580048,1.5183366797214155,0.5787120628356932,0.25820753193648527,0.4874551602364201,0.6895013317748264,0.8624760576911702,9664,150,,,,,,,,,,
0.3703556058466598,1.1924436759948736,0.8632543061514327,1.090369423230487,1.311043748980448,1.4872604678743124,0.5669716095924375,0.23567361650320715,0.4684858654568942,0.6805702022037591,0.8652989382210833,12864,200,,,,,,,,,,
0.3513196053573541,1.1496732664108276,0.8152276327398686,1.0571284501863834,1.271179640756796,1.461314762242232,0.5557813298702242,0.22015221923887343,0.4618779701992796,0.6802373739003843,0.8670433244373228,16064,250,,,,,,,,,,
0.3482132894656106,1.126502759456635,0.786348504540306,1.010492676227324,1.2480637580725802,1.4399999371647125,0.5569858843088152,0.2164922707298266,0.44690030474816606,0.6761802586400592,0.8675671497040262,19264,300,,,,,,,,,,
0.35194405344213703,1.087266817092895,0.746146734377637,0.9766528145561842,1.2136308594319796,1.4136318729942172,0.54479708135128,0.20194760802206543,0.4368005813587279,0.6730357927346375,0.8684364581019018,22464,350,,,,,,,,,,
0.3282139090978545,1.0534494376182555,0.7061515385628304,0.949418531490655,1.1916025811222686,1.3849189837100129,0.5365062469244002,0.1896720328960703,0.4293115108794956,0.6761000922167982,0.8692838486834246,25664,400,,,,,,,,,,
